Time,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,Temp,Humidity,Pressure,Mic,Light
2022-11-02 15:10:55,1034,85,-25,0,0,0,10,-28,75,0,0,0,0,0
2022-11-02 15:10:55,1015,115,-23,2,10,3,10,-24,81,0,0,0,0,0
2022-11-02 15:10:55,1061,56,9,-2,5,8,11,-26,82,0,0,0,0,0
2022-11-02 15:10:56,1016,128,-27,1,-10,0,8,-25,75,0,0,0,0,0
2022-11-02 15:10:56,1030,128,-21,10,-15,5,9,-23,82,0,0,0,0,0
2022-11-02 15:10:56,997,-21,-7,4,-8,10,9,-24,79,0,0,0,0,0
2022-11-02 15:10:56,948,-23,29,0,5,8,9,-23,78,0,0,0,0,0
2022-11-02 15:10:56,1052,-122,-29,2,0,9,10,-24,80,0,0,0,0,0
2022-11-02 15:10:56,1050,46,-148,12,-11,1,8,-23,84,0,0,0,0,0
2022-11-02 15:10:56,909,-66,-124,4,-4,3,8,-24,84,31.8,29.34,1018.05,1,0
2022-11-02 15:10:56,1054,17,-113,-12,9,6,8,-23,76,31.8,29.34,1018.05,1,0
2022-11-02 15:10:56,995,-29,-130,13,4,0,8,-24,80,31.8,29.34,1018.05,1,0
2022-11-02 15:10:56,991,13,-138,13,0,-2,6,-23,83,31.8,29.34,1018.05,1,0
2022-11-02 15:10:57,960,1,-193,17,6,-1,7,-22,84,31.8,29.34,1018.05,1,0
2022-11-02 15:10:57,993,-25,-230,13,9,-2,9,-23,85,31.8,29.34,1018.05,1,0
2022-11-02 15:10:57,1260,-163,105,-8,2,13,7,-19,85,31.8,29.34,1018.05,1,0
2022-11-02 15:10:57,1243,-101,-1,0,9,0,7,-19,85,31.8,29.34,1018.05,1,0
2022-11-02 15:10:57,899,11,-23,-11,5,-14,6,-21,84,31.8,29.34,1018.05,1,0
2022-11-02 15:10:57,931,173,15,-2,11,-12,8,-19,87,31.8,29.34,1018.05,1,0
2022-11-02 15:10:57,1005,146,-23,-5,17,-1,8,-17,89,31.8,29.34,1018.15,1,0
2022-11-02 15:10:57,1005,140,-9,-19,3,7,9,-20,86,31.8,29.34,1018.15,1,0
2022-11-02 15:10:57,1231,183,-48,-20,-4,-2,7,-20,87,31.8,29.34,1018.15,1,0
2022-11-02 15:10:57,1124,-255,249,-2,-9,-13,8,-22,87,31.8,29.34,1018.15,1,0
2022-11-02 15:10:58,1102,140,-25,-22,-3,11,10,-20,85,31.8,29.34,1018.15,1,0
2022-11-02 15:10:58,868,-52,-72,23,-17,9,12,-22,84,31.8,29.34,1018.15,1,0
2022-11-02 15:10:58,856,-70,-154,32,-7,7,14,-21,87,31.8,29.34,1018.15,1,0
2022-11-02 15:10:58,1040,81,-122,17,8,-6,12,-19,85,31.8,29.34,1018.15,1,0
2022-11-02 15:10:58,1567,-146,-19,24,1,21,12,-22,91,31.8,29.34,1018.15,1,0
2022-11-02 15:10:58,718,228,31,11,0,-20,13,-17,95,31.8,29.34,1018.15,1,0
2022-11-02 15:10:58,1007,-177,-19,-24,0,-8,15,-19,97,31.8,29.34,1018.16,1,0
2022-11-02 15:10:58,794,150,39,-43,7,-5,18,-16,88,31.8,29.34,1018.16,1,0
2022-11-02 15:10:58,966,158,5,-34,16,7,19,-16,90,31.8,29.34,1018.16,1,0
2022-11-02 15:10:58,1095,175,-25,-22,0,5,19,-18,89,31.8,29.34,1018.16,1,0
2022-11-02 15:10:59,1477,189,244,-22,-1,-15,18,-24,88,31.8,29.34,1018.16,1,0
2022-11-02 15:10:59,929,-25,-95,0,-23,-2,22,-24,89,31.8,29.34,1018.16,1,0
2022-11-02 15:10:59,907,-21,-64,55,-21,3,24,-22,87,31.8,29.34,1018.16,1,0
2022-11-02 15:10:59,841,-35,-136,33,-5,15,28,-21,86,31.8,29.34,1018.16,1,0
2022-11-02 15:10:59,907,-13,-195,30,7,-7,31,-17,82,31.8,29.34,1018.16,1,0
2022-11-02 15:10:59,1335,11,-222,11,-21,4,32,-15,90,31.8,29.34,1018.16,1,0
2022-11-02 15:10:59,845,-218,70,-28,-6,0,35,-12,94,31.8,29.35,1018.13,1,0
2022-11-02 15:10:59,1079,-134,7,-5,14,1,35,-13,81,31.8,29.35,1018.13,1,0
2022-11-02 15:10:59,854,163,9,-34,11,-15,36,-10,84,31.8,29.35,1018.13,1,0
2022-11-02 15:10:59,938,167,3,-15,21,7,35,-11,86,31.8,29.35,1018.13,1,0
2022-11-02 15:11:00,1024,97,-62,-3,-11,8,36,-12,79,31.8,29.35,1018.13,1,0
2022-11-02 15:11:00,1551,152,228,-3,12,-12,37,-11,79,31.8,29.35,1018.13,1,0
2022-11-02 15:11:00,607,-136,-80,27,-26,1,38,-10,76,31.8,29.35,1018.13,1,0
2022-11-02 15:11:00,1126,-19,-23,38,-19,0,35,-8,78,31.8,29.35,1018.13,1,0
2022-11-02 15:11:00,839,-27,-101,42,-12,4,36,-5,75,31.8,29.35,1018.13,1,0
2022-11-02 15:11:00,919,19,-126,33,5,-13,35,-4,72,31.8,29.35,1018.13,1,0
2022-11-02 15:11:00,1380,183,-218,12,-14,-4,37,-2,75,31.9,29.35,1018.05,1,0
2022-11-02 15:11:00,860,-160,76,-7,5,5,37,0,71,31.9,29.35,1018.05,1,0
2022-11-02 15:11:00,1038,-197,42,-31,7,-2,33,-2,69,31.9,29.35,1018.05,1,0
